simNo_2-s_7-m_20-h_1-minCP_0.10-ISAV_0-n_20-fp_0.001-fn_0.1-na_0.50-d_0-l_1000000	cell_0,cell_10,cell_16,cell_17,cell_18,cell_19,cell_2,cell_5,cell_8,cell_9	mut0	0	1.716692208696636821295665338	0E+27	
simNo_2-s_7-m_20-h_1-minCP_0.10-ISAV_0-n_20-fp_0.001-fn_0.1-na_0.25-d_0-l_1000000	cell_0,cell_10,cell_16,cell_17,cell_18,cell_2,cell_3,cell_4,cell_5,cell_7,cell_8	mut1	0	0.06694814008962253613636646189	0E+29	
simNo_2-s_7-m_20-h_1-minCP_0.10-ISAV_0-n_20-fp_0.001-fn_0.4-na_0.25-d_0-l_1000000	cell_0,cell_10,cell_17,cell_2,cell_8,cell_9	mut1	0	4.860580736735012807392906368E-15	0E+42	
simNo_8-s_7-m_20-h_1-minCP_0.10-ISAV_0-n_20-fp_0.001-fn_0.1-na_0.50-d_0-l_1000000	cell_0,cell_10,cell_3,cell_4,cell_8	mut4	0	0.1292183946205582538957522462	0E+28	
simNo_8-s_7-m_20-h_1-minCP_0.10-ISAV_0-n_20-fp_0.001-fn_0.2-na_0.25-d_0-l_1000000	cell_0,cell_10,cell_3,cell_5	mut4	6.726213426077335853346365079E-13	9.593704412983989559246657569E-13	0.7011070110701107011070110695	
simNo_3-s_7-m_20-h_1-minCP_0.10-ISAV_0-n_20-fp_0.001-fn_0.2-na_0.50-d_0-l_1000000	cell_0,cell_10,cell_8,cell_9	mut2	0	0.000002116613824815479706437425571	0E+33	
simNo_3-s_7-m_20-h_1-minCP_0.10-ISAV_0-n_20-fp_0.001-fn_0.1-na_0.50-d_0-l_1000000	cell_0,cell_10,cell_8	mut2	0	0.05671099356577456667775003085	0E+29	
simNo_3-s_7-m_20-h_1-minCP_0.10-ISAV_0-n_20-fp_0.001-fn_0.4-na_0.25-d_0-l_1000000	cell_0,cell_10,cell_9	mut2	1.340059561623446182335422334E-13	1.340059561623446182335422334E-13	1	
simNo_5-s_7-m_20-h_1-minCP_0.10-ISAV_0-n_20-fp_0.001-fn_0.1-na_0.25-d_0-l_1000000	cell_0,cell_11,cell_12,cell_13,cell_14,cell_15,cell_17,cell_2,cell_3,cell_4,cell_5,cell_7,cell_8	mut4	0	3.675045119641944049644250288E-8	0E+35	
simNo_9-s_7-m_20-h_1-minCP_0.10-ISAV_0-n_20-fp_0.001-fn_0.1-na_0.50-d_0-l_1000000	cell_0,cell_11,cell_12,cell_13,cell_14,cell_16,cell_19,cell_3,cell_4,cell_5,cell_6,cell_9	mut2	0	0.6070167781755062807449636897	0E+28	
simNo_1-s_7-m_20-h_1-minCP_0.10-ISAV_0-n_20-fp_0.001-fn_0.1-na_0.25-d_0-l_1000000	cell_0,cell_11,cell_12,cell_13,cell_15,cell_16,cell_18,cell_4,cell_5,cell_7,cell_8,cell_9	mut0	0	0.00001110783512475382028625351320	0E+32	
simNo_7-s_7-m_20-h_1-minCP_0.10-ISAV_0-n_20-fp_0.001-fn_0.1-na_0.25-d_0-l_1000000	cell_0,cell_11,cell_12,cell_13,cell_15,cell_18,cell_2,cell_3	mut5	0.0001291289393147943460003275833	0.0001291289393147943460003275833	1	
simNo_8-s_7-m_20-h_1-minCP_0.10-ISAV_0-n_20-fp_0.001-fn_0.2-na_0.50-d_0-l_1000000	cell_0,cell_11,cell_12,cell_13,cell_15,cell_3,cell_4	mut1	0	0.06354211192048303888101656994	0E+29	
simNo_8-s_7-m_20-h_1-minCP_0.10-ISAV_0-n_20-fp_0.001-fn_0.2-na_0.25-d_0-l_1000000	cell_0,cell_11,cell_12,cell_13,cell_15	mut8	0	9.593704412983989559246657569E-13	0E+40	
